iter	RMSE
0	11.80369375
1	11.67299035
2	11.49067283
3	11.34566672
4	11.20111817
5	11.05891096
6	10.91779771
7	10.77954086
8	10.65477592
9	10.50745058
10	10.3649354
11	10.27826715
12	10.13073064
13	10.02717243
14	9.948763555
15	9.816061757
16	9.703539117
17	9.601347646
18	9.489113311
19	9.398398534
20	9.318228436
21	9.227910675
22	9.118161498
23	9.032342176
24	8.955390127
25	8.857754147
26	8.765826035
27	8.711901999
28	8.638794841
29	8.578781486
30	8.492588327
31	8.423274982
32	8.381081312
33	8.319053656
34	8.253278246
35	8.195848543
36	8.119930602
37	8.05963154
38	7.979660182
39	7.919852198
40	7.866749307
41	7.800658021
42	7.747007573
43	7.709317777
44	7.684598839
45	7.644215616
46	7.576575456
47	7.526198201
48	7.458365757
49	7.420949607
50	7.389444973
51	7.356074239
52	7.307439243
53	7.250704783
54	7.201709395
55	7.1311155
56	7.080389989
57	7.0325505
58	7.00374707
59	6.969323467
60	6.919420034
61	6.876408838
62	6.846635318
63	6.812730463
64	6.784015829
65	6.736330956
66	6.702243721
67	6.673905083
68	6.635225178
69	6.603876966
70	6.57852503
71	6.535131971
72	6.4946409
73	6.469156838
74	6.429761416
75	6.394045398
76	6.355870474
77	6.323607964
78	6.286322253
79	6.254732414
80	6.226781216
81	6.203063204
82	6.172523335
83	6.145801218
84	6.114191777
85	6.094869119
86	6.069606635
87	6.032392527
88	5.993246744
89	5.960939839
90	5.939493324
91	5.912579294
92	5.884153072
93	5.86306975
94	5.83956784
95	5.82031983
96	5.790649073
97	5.761404935
98	5.740220982
99	5.713829987
100	5.695656585
101	5.661144122
102	5.63374003
103	5.613586055
104	5.593537405
105	5.57886562
106	5.564764354
107	5.536974819
108	5.511760688
109	5.485195721
110	5.468114513
111	5.455736283
112	5.433191347
113	5.410645924
114	5.384336882
115	5.351900792
116	5.323842831
117	5.301962979
118	5.281630912
119	5.267680588
120	5.244035446
121	5.227193532
122	5.200293846
123	5.180068675
124	5.159611669
125	5.142640146
126	5.120362626
127	5.097756003
128	5.074239931
129	5.057904338
130	5.042550775
131	5.032779625
132	5.017930104
133	4.999971115
134	4.977406348
135	4.961315402
136	4.950933131
137	4.933664522
138	4.919291433
139	4.910200119
140	4.893546594
141	4.880743704
142	4.870176661
143	4.850368729
144	4.83878665
145	4.826896252
146	4.803885087
147	4.788322314
148	4.787659876
149	4.770233815
150	4.769151807
151	4.768269967
152	4.745031508
153	4.732204794
154	4.717225073
155	4.697953335
156	4.684310998
157	4.669844923
158	4.659539179
159	4.658596316
160	4.655471998
161	4.642169668
162	4.623391294
163	4.612833303
164	4.611698447
165	4.597025992
166	4.588737163
167	4.587515004
168	4.582850277
169	4.581686461
170	4.580834767
171	4.577632254
172	4.565745943
173	4.562606767
174	4.561133685
175	4.560439692
176	4.556767489
177	4.555749903
178	4.555024791
179	4.554074471
180	4.551790046
181	4.537249696
182	4.522054024
