iter	Passed	Remaining
0	0	967
1	1	894
2	2	860
3	3	829
4	4	819
5	4	822
6	5	813
7	6	843
8	7	828
9	8	818
10	9	809
11	9	796
12	10	784
13	11	775
14	11	769
15	12	775
16	13	774
17	14	781
18	15	776
19	15	770
20	16	764
21	17	763
22	17	762
23	18	761
24	19	757
25	20	758
26	21	771
27	22	780
28	23	776
29	23	772
30	24	769
31	25	765
32	25	761
33	26	758
34	27	756
35	28	757
36	29	760
37	29	758
38	30	757
39	31	757
40	32	754
41	32	751
42	33	748
43	34	747
44	35	752
45	36	751
46	37	750
47	37	748
48	38	746
49	39	744
50	39	742
51	40	739
52	41	737
53	41	735
54	42	733
55	43	734
56	44	733
57	45	732
58	45	730
59	46	728
60	47	727
61	48	726
62	48	724
63	49	722
64	50	726
65	51	726
66	52	725
67	52	725
68	53	724
69	54	723
70	55	722
71	55	720
72	56	720
73	57	718
74	58	719
75	59	720
76	60	723
77	61	721
78	61	719
79	62	717
80	63	715
81	63	714
82	64	713
83	65	712
84	66	714
85	67	712
86	67	712
87	68	713
88	69	711
89	70	710
90	70	708
91	71	706
92	72	706
93	73	704
94	74	705
95	74	703
96	75	701
97	76	700
98	76	698
99	77	697
100	78	695
101	78	693
102	79	692
103	80	690
104	80	689
105	81	688
106	82	687
107	83	686
108	84	686
109	84	685
110	85	683
111	86	682
112	86	679
113	87	678
114	87	676
115	88	674
116	89	674
117	90	675
118	91	675
119	92	675
120	92	674
121	93	674
122	94	673
123	95	671
124	95	671
125	96	670
126	97	671
127	98	673
128	99	672
129	100	670
130	100	669
131	101	668
132	102	667
133	103	667
134	103	665
135	104	665
136	105	664
137	106	664
138	107	664
139	108	665
140	109	665
141	110	665
142	110	664
143	111	662
144	112	662
145	113	662
146	114	661
147	114	660
148	115	659
149	116	658
150	117	658
151	117	657
152	118	655
153	119	653
154	119	653
155	120	653
156	121	652
157	122	653
158	123	652
159	124	652
160	125	652
161	126	652
162	127	652
163	128	653
164	129	652
165	129	652
166	130	652
167	131	653
168	133	654
169	134	655
170	134	652
171	135	654
172	137	655
173	137	652
174	138	652
175	139	654
176	140	654
177	141	651
178	142	651
179	143	653
180	144	653
181	145	654
182	146	655
183	147	655
184	148	654
185	149	654
186	150	654
187	151	652
188	152	653
189	153	653
190	154	653
191	154	652
192	155	652
193	156	651
194	157	648
195	157	647
196	158	646
197	158	643
198	159	642
199	160	641
200	161	640
201	162	640
202	162	638
203	163	636
204	163	634
205	164	633
206	165	632
207	166	632
208	166	631
